Date,Consumer,Manuf,HiTec,Hlth,btc,eth
2018-05-29,13006.1452564849,9677.067323976304,11356.638888464948,25619.630259327812,7472.58984375,565.3880004882812
2018-05-30,13159.61777051142,9789.321304934429,11449.76332735036,26003.92471321773,7406.52001953125,559.5900268554688
2018-05-31,13012.230051481692,9639.544688968932,11440.60351668848,25842.70037999578,7494.169921875,577.64501953125
2018-06-01,13038.254511584655,9735.940135858622,11656.830923153891,26152.81278455573,7541.4501953125,580.0430297851562
2018-06-04,13139.952896775016,9775.857490415645,11746.588521262176,26249.578191858585,7514.47021484375,592.9849853515625
2018-06-05,13111.045000402111,9802.252305639764,11801.797487312107,26231.203487124283,7633.759765625,609.302978515625
2018-06-06,13135.955985902876,9914.97820715462,11861.9866544974,26472.53055920583,7653.97998046875,607.1240234375
2018-06-07,13141.210368297236,9921.91869189963,11742.180589286978,26350.75691863348,7678.240234375,605.18701171875
2018-06-08,13340.956765895357,9963.590750405609,11756.271205994124,26532.57714137205,7624.919921875,601.0770263671875
2018-06-11,13449.018515699108,9965.583468555687,11765.67622295892,26479.511987089307,6906.919921875,533.2839965820312
2018-06-12,13514.918706426031,9959.604118474554,11835.093712674376,26508.639450275103,6582.35986328125,496.8429870605469
2018-06-13,13459.507539729684,9872.955562643823,11807.872997135224,26468.876491099694,6349.89990234375,477.4939880371094
2018-06-14,13498.5401115949,9854.1969470748,11879.90102241775,26622.395974748073,6675.35009765625,519.7420043945312
2018-06-15,13659.172738922878,9846.31358951714,11834.757398532562,26683.627485489993,6456.580078125,491.0039978027344
2018-06-18,13514.385507890294,9790.189602056893,11867.894719248452,26475.49519110317,6734.81982421875,518.8909912109375
2018-06-19,13553.577225863177,9631.58853050357,11774.138350966388,26602.577568020464,6769.93994140625,537.9569702148438
2018-06-20,13575.262949424558,9640.256960181025,11801.21886917361,26743.571229130976,6776.5498046875,536.2680053710938
2018-06-21,13546.754897230769,9539.034262099123,11695.007899351049,26561.714944772884,6729.740234375,527.3670043945312
2018-06-22,13611.779320737473,9588.63724026204,11640.041362224096,26606.869860179,6083.68994140625,465.8169860839844
2018-06-25,13636.2805235148,9486.997685515262,11389.780472936278,26311.533604731012,6249.18017578125,460.30999755859375
2018-06-26,13604.917078310717,9514.509978803257,11439.895507017198,26303.640144649595,6093.669921875,432.7720031738281
2018-06-27,13515.124625593866,9441.24825196647,11269.441063962642,25940.64991065343,6157.1298828125,442.364990234375
2018-06-28,13636.760747224209,9476.180870498749,11384.389362815062,26119.640395036935,5903.43994140625,422.364990234375
2018-06-29,13595.850464982535,9543.461754679289,11393.496874305312,26224.118956617083,6218.2998046875,436.0090026855469
2018-07-02,13538.74789302961,9536.781331451011,11515.407290860378,26342.12749192186,6614.18017578125,475.3469848632813
2018-07-03,13580.718011498002,9495.773171725774,11387.586269931828,26426.42229989601,6529.58984375,464.1950073242187
2018-07-05,13766.773848255523,9586.93259417434,11542.4574432029,26709.185018504897,6639.14013671875,474.4119873046875
