Date,Consumer,Manuf,HiTec,Hlth
2021-02-11,16814.84236913745,13039.476351170884,23487.550896323748,40332.73250939208
2021-02-12,16880.420254377084,13100.761890021386,23616.73242625353,40514.22980568434
2021-02-16,16780.82577487626,13109.9324233444,23536.43553600427,40084.77896974409
2021-02-17,16782.503857453747,13069.291632832033,23341.083121055435,40168.95700558055
2021-02-18,16859.703375198034,12960.816512279527,23210.373055577522,39763.25053982419
2021-02-19,16686.048430433493,13153.93267831249,23194.125794438616,39624.07916293481
2021-02-22,16711.077503079145,13105.263127402734,22614.27264957765,39243.68800297063
2021-02-23,16724.446365081607,13134.09470628302,22544.16840436396,38949.360342948356
2021-02-24,16794.689039814948,13375.762048878627,22735.793835801054,39315.484330172076
2021-02-25,16531.012421889853,13078.82013139352,21944.588210315178,38725.752065219494
2021-02-26,16339.25267779593,12976.805334368652,22093.81141014532,38474.03467679557
2021-03-01,16589.24324376621,13324.583717329731,22772.09142043678,39020.36596920607
2021-03-02,16582.607546468706,13233.976548051889,22391.797493715483,38665.280638886295
2021-03-03,16451.604946851603,13170.45346062124,21764.82716389145,37822.37752095857
2021-03-04,16339.734033213012,12912.312572793064,21344.765999628344,37009.196404257964
2021-03-05,16735.155596816767,13232.537924598331,21724.70283442173,37686.464698455886
2021-03-08,16879.07793494939,13293.407599051483,21092.513981940057,37335.980576760245
2021-03-09,16963.473324624134,13339.934525648165,21830.751971307956,37843.74991260419
2021-03-10,17122.9299738756,13556.041464963664,21739.062813028464,37968.634287315785
2021-03-11,17095.5332859174,13663.134192536878,22297.756727323296,38450.835942764694
2021-03-12,17150.23899243234,13788.835027108218,22092.61736543192,38477.75152792463
2021-03-15,17292.585976069528,13893.63017331424,22362.14729729019,38785.57354014803
2021-03-16,17254.542286922177,13768.587501754413,22465.013174857722,38739.03085189985
2021-03-17,17302.855005325557,13898.012224270906,22489.724689350067,38661.55279019605
2021-03-18,17228.45272880266,13779.879120364603,21828.526783483176,38039.1017902739
2021-03-19,17318.040682992432,13682.041978610016,21955.13223882738,38328.19896387998
2021-03-22,17444.46237997828,13714.87887935868,22297.63230175309,38715.31377341517
2021-03-23,17292.695557272466,13461.153620090545,22139.31911241064,37999.08046860699
2021-03-24,17149.166184147103,13506.921542398853,21756.308891765937,37554.49122712429
2021-03-25,17353.241261738454,13666.30321659916,21745.430737320054,37779.81817448703
2021-03-26,17721.12997648731,13960.128735756043,22158.59392132913,38282.28975620771
2021-03-29,17774.293366416772,13928.020439663806,22076.607123820213,38155.958200012225
2021-03-30,17642.76359550529,13972.59010507073,21924.278534665853,38030.04353795219
2021-03-31,17529.849908494056,13975.384623091744,22283.836702634373,38436.96500380828
2021-04-01,17521.08498353981,14087.187700076478,22745.112122378905,38498.464147814375
2021-04-05,17673.518422896606,14253.41651493738,23213.66143209991,38667.85739006475
2021-04-06,17797.23305185688,14237.73775677095,23204.37596752707,38466.78453163642
2021-04-07,17738.502182785753,14128.107176043814,23301.834346590684,38224.44378908711
2021-04-08,17781.07458802444,14147.886526090277,23618.73929370432,38365.87423110673
2021-04-09,17795.29944769486,14207.307649499855,23810.051081983325,38561.54018968538
2021-04-12,17916.30748393918,14234.301534033904,23710.048867438996,38418.86249098354
2021-04-13,17846.43388475182,14134.661423295667,23959.004380547103,38680.11075592223
2021-04-14,17839.29531119792,14174.238475280894,23676.288128856646,38807.755121416776
